"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","10","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","4888","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2659.800000011921},{""page_index"":1,""viewing_time"":366.5},{""page_index"":2,""viewing_time"":333.39999997615814},{""page_index"":3,""viewing_time"":166.19999998807907},{""page_index"":4,""viewing_time"":166.9000000357628},{""page_index"":5,""viewing_time"":249.69999998807907},{""page_index"":6,""viewing_time"":133.19999998807907},{""page_index"":7,""viewing_time"":150.5},{""page_index"":8,""viewing_time"":166.69999998807907},{""page_index"":9,""viewing_time"":149.70000004768372},{""page_index"":10,""viewing_time"":167},{""page_index"":11,""viewing_time"":166.5999999642372}]","4876.899999976158","","","","","","","","","","","","","",""
"pit-trial","2","10023","0.0-1.0-1.0-0.0","battery-v0.2","","1631.300000011921","&#9776;","elianto","#3366ff99","32","32","1","+10","3132.300000011921","1","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","18","94480","0.0-1.0-1.3-1.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","19","99982","0.0-1.0-1.3-2.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","20","105493","0.0-1.0-1.3-3.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","21","111002","0.0-1.0-1.3-4.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","22","116510","0.0-1.0-1.4-0.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","23","122018","0.0-1.0-1.4-1.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","24","127523","0.0-1.0-1.4-2.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","25","133028","0.0-1.0-1.4-3.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","26","138535","0.0-1.0-1.4-4.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","27","144041","0.0-1.0-1.5-0.5","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","28","149544","0.0-1.0-1.5-1.5","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","29","155049","0.0-1.0-1.5-2.5","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","30","160559","0.0-1.0-1.5-3.5","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","31","166067","0.0-1.0-1.5-4.5","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","32","171573","0.0-1.0-1.6-0.6","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","33","177078","0.0-1.0-1.6-1.6","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","34","182585","0.0-1.0-1.6-2.6","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","35","188089","0.0-1.0-1.6-3.6","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","36","193591","0.0-1.0-1.6-4.6","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","37","199096","0.0-1.0-1.7-0.7","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","38","204603","0.0-1.0-1.7-1.7","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","39","210105","0.0-1.0-1.7-2.7","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","40","215611","0.0-1.0-1.7-3.7","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","41","221118","0.0-1.0-1.7-4.7","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","42","226622","0.0-1.0-1.8-0.8","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","43","232133","0.0-1.0-1.8-1.8","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","44","237639","0.0-1.0-1.8-2.8","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","45","243145","0.0-1.0-1.8-3.8","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","46","248652","0.0-1.0-1.8-4.8","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","47","254158","0.0-1.0-1.9-0.9","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","48","259659","0.0-1.0-1.9-1.9","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","49","265161","0.0-1.0-1.9-2.9","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","50","270663","0.0-1.0-1.9-3.9","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","51","276168","0.0-1.0-1.9-4.9","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","52","281669","0.0-1.0-1.10-0.10","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","53","287176","0.0-1.0-1.10-1.10","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","54","292685","0.0-1.0-1.10-2.10","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","55","298193","0.0-1.0-1.10-3.10","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","56","303700","0.0-1.0-1.10-4.10","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","57","309211","0.0-1.0-1.11-0.11","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","58","314716","0.0-1.0-1.11-1.11","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","59","320224","0.0-1.0-1.11-2.11","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","60","325730","0.0-1.0-1.11-3.11","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","61","331231","0.0-1.0-1.11-4.11","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","62","336741","0.0-1.0-1.12-0.12","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","63","342244","0.0-1.0-1.12-1.12","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","64","347754","0.0-1.0-1.12-2.12","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","65","353266","0.0-1.0-1.12-3.12","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","66","358769","0.0-1.0-1.12-4.12","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","67","364278","0.0-1.0-1.13-0.13","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","68","369780","0.0-1.0-1.13-1.13","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","69","375283","0.0-1.0-1.13-2.13","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","70","380788","0.0-1.0-1.13-3.13","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","71","386293","0.0-1.0-1.13-4.13","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","72","391798","0.0-1.0-1.14-0.14","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","73","397305","0.0-1.0-1.14-1.14","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","74","402809","0.0-1.0-1.14-2.14","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","75","408311","0.0-1.0-1.14-3.14","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","76","413817","0.0-1.0-1.14-4.14","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","77","419320","0.0-1.0-1.15-0.15","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","78","424823","0.0-1.0-1.15-1.15","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","79","430331","0.0-1.0-1.15-2.15","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","80","435832","0.0-1.0-1.15-3.15","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","81","441338","0.0-1.0-1.15-4.15","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","82","446840","0.0-1.0-1.16-0.16","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","83","452343","0.0-1.0-1.16-1.16","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","84","457846","0.0-1.0-1.16-2.16","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","85","463356","0.0-1.0-1.16-3.16","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","86","468857","0.0-1.0-1.16-4.16","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","87","474364","0.0-1.0-1.17-0.17","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","88","479866","0.0-1.0-1.17-1.17","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","89","485373","0.0-1.0-1.17-2.17","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","90","490879","0.0-1.0-1.17-3.17","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","91","496384","0.0-1.0-1.17-4.17","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","92","501894","0.0-1.0-1.18-0.18","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","93","507399","0.0-1.0-1.18-1.18","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","94","512904","0.0-1.0-1.18-2.18","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","95","518410","0.0-1.0-1.18-3.18","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","96","523916","0.0-1.0-1.18-4.18","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","97","529423","0.0-1.0-1.19-0.19","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","98","534934","0.0-1.0-1.19-1.19","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","99","540437","0.0-1.0-1.19-2.19","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","100","545942","0.0-1.0-1.19-3.19","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","101","551445","0.0-1.0-1.19-4.19","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","102","556950","0.0-1.0-1.20-0.20","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","103","562456","0.0-1.0-1.20-1.20","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","104","567963","0.0-1.0-1.20-2.20","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","105","573465","0.0-1.0-1.20-3.20","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","106","578971","0.0-1.0-1.20-4.20","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","107","584476","0.0-1.0-1.21-0.21","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","108","589981","0.0-1.0-1.21-1.21","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","109","595487","0.0-1.0-1.21-2.21","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","110","600989","0.0-1.0-1.21-3.21","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","111","606490","0.0-1.0-1.21-4.21","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","112","611994","0.0-1.0-1.22-0.22","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
