"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors","quiz","sub","trial","stimulus","robot","valence","action","sham"
"call-function","17","101093","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","18","142123","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":9169.699999999255},{""page_index"":1,""viewing_time"":9049.199999999255},{""page_index"":2,""viewing_time"":9795.900000000373},{""page_index"":3,""viewing_time"":3767.5},{""page_index"":4,""viewing_time"":2509.9000000003725},{""page_index"":5,""viewing_time"":6737.5999999996275}]","41030.5","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","19","146246","0.0-1.0-4.0-0.0","battery-v0.2","","612.2999999988824","&#9776;","elianto","#3366ff99","-1","32","0","0","2114.199999999255","1","0","2","","","","","","","","","","",""
"pit-trial","20","149943","0.0-1.0-4.0-1.0","battery-v0.2","","187.5","&#9776;","elianto","#3366ff99","-1","32","0","0","1687.699999999255","1","0","2","","","","","","","","","","",""
"pit-trial","21","155451","0.0-1.0-4.0-2.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","","",""
"pit-trial","22","160956","0.0-1.0-4.0-3.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","","",""
"pit-trial","23","166463","0.0-1.0-4.0-4.0","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","","","","","","","","","","",""
"call-function","24","166466","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","25","238966","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":59012.89999999851},{""page_index"":1,""viewing_time"":2732.7000000011176},{""page_index"":2,""viewing_time"":4726.0999999996275},{""page_index"":3,""viewing_time"":864.0999999996275},{""page_index"":4,""viewing_time"":5166.700000001118}]","72503.29999999888","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","26","243593","0.0-1.0-7.0-0.0","battery-v0.2","","1123","&#9826;","elianto","#f73b6a7A","-1","32","0","-10","2623.300000000745","1","0","3","","","","","","","","","","",""
"pit-trial","27","247236","0.0-1.0-7.0-1.0","battery-v0.2","","133.7999999988824","&#9826;","elianto","#f73b6a7A","-1","32","0","-10","1633.9000000003725","1","0","3","","","","","","","","","","",""
"pit-trial","28","252749","0.0-1.0-7.0-2.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","-10","","0","0","3","","","","","","","","","","",""
"pit-trial","29","258263","0.0-1.0-7.0-3.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","1160.300000000745","1","0","3","","","","","","","","","","",""
"pit-trial","30","263775","0.0-1.0-7.0-4.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","","","","","","","","","","",""
"call-function","31","263778","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","32","279544","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":14810.39999999851},{""page_index"":1,""viewing_time"":955.7000000011176}]","15766.89999999851","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","33","283957","0.0-1.0-10.0-0.0","battery-v0.2","","906.4000000003725","&#9789;","elianto","#f73b6a7A","32","32","1","0","2408.300000000745","1","0","4","","","","","","","","","","",""
"pit-trial","34","288209","0.0-1.0-10.0-1.0","battery-v0.2","","742.8000000007451","&#9789;","elianto","#f73b6a7A","32","32","1","0","2242.9000000003725","1","0","4","","","","","","","","","","",""
"pit-trial","35","293717","0.0-1.0-10.0-2.0","battery-v0.2","","-1","&#9789;","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4","","","","","","","","","","",""
"pit-trial","36","299227","0.0-1.0-10.0-3.0","battery-v0.2","","-1","&#9789;","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4","","","","","","","","","","",""
"pit-trial","37","304740","0.0-1.0-10.0-4.0","battery-v0.2","","-1","&#9789;","elianto","#f73b6a7A","32","-1","0","0","","0","0","4","","","","","","","","","","",""
"pit-trial","38","310251","0.0-1.0-10.1-0.1","battery-v0.2","","-1","&#9789;","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4","","","","","","","","","","",""
"pit-trial","39","313963","0.0-1.0-10.1-1.1","battery-v0.2","","206.90000000037253","&#9789;","elianto","#f73b6a7A","32","32","1","0","1707.699999999255","1","0","4","","","","","","","","","","",""
"pit-trial","40","317871","0.0-1.0-10.1-2.1","battery-v0.2","","396","&#9789;","elianto","#f73b6a7A","32","32","1","0","1898.2000000011176","1","0","4","","","","","","","","","","",""
"pit-trial","41","321576","0.0-1.0-10.1-3.1","battery-v0.2","","196.5","&#9789;","elianto","#f73b6a7A","32","32","1","0","1696.699999999255","1","0","4","","","","","","","","","","",""
"pit-trial","42","325412","0.0-1.0-10.1-4.1","battery-v0.2","","328.7000000011176","&#9789;","elianto","#f73b6a7A","32","32","1","-10","1829.1000000014901","1","0","4","","","","","","","","","","",""
"call-function","43","325415","0.0-1.0-11.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","44","347242","0.0-1.0-12.0","battery-v0.2","[{""page_index"":0,""viewing_time"":5122.5999999996275},{""page_index"":1,""viewing_time"":5208.5},{""page_index"":2,""viewing_time"":1250.5},{""page_index"":3,""viewing_time"":646},{""page_index"":4,""viewing_time"":4937.5999999996275},{""page_index"":5,""viewing_time"":3310.800000000745},{""page_index"":6,""viewing_time"":1350.199999999255}]","21827.299999998882","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","45","404782","0.0-1.0-13.0","battery-v0.2","","57535.70000000112","","","","","","","","","","","","","Press ENTER,+10,-10,True,False, sometimes you will not get all the points even if you took the right action,True","1","1","","","","","","",""
"instructions","46","410093","0.0-1.0-14.0-0.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":5304.800000000745}]","5305.60000000149","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","47","413534","0.0-1.0-14.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1703.2999999988824},{""page_index"":1,""viewing_time"":164.5},{""page_index"":2,""viewing_time"":170.2000000011176},{""page_index"":3,""viewing_time"":139.2999999988824},{""page_index"":4,""viewing_time"":171.80000000074506},{""page_index"":5,""viewing_time"":155.40000000037253},{""page_index"":6,""viewing_time"":155.2999999988824},{""page_index"":7,""viewing_time"":146.40000000037253},{""page_index"":8,""viewing_time"":163.90000000037253},{""page_index"":9,""viewing_time"":156.59999999962747},{""page_index"":10,""viewing_time"":154.80000000074506},{""page_index"":11,""viewing_time"":155.09999999962747}]","3437.699999999255","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","48","414516","0.0-1.0-14.0-2.0","battery-v0.2","[{""page_index"":0,""viewing_time"":151.19999999925494},{""page_index"":1,""viewing_time"":163.80000000074506},{""page_index"":2,""viewing_time"":163.90000000037253},{""page_index"":3,""viewing_time"":163.09999999962747},{""page_index"":4,""viewing_time"":163.5},{""page_index"":5,""viewing_time"":171.59999999962747}]","978.1999999992549","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","49","415365","0.0-1.0-14.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":175.7999999988824},{""page_index"":1,""viewing_time"":171.80000000074506},{""page_index"":2,""viewing_time"":163.40000000037253},{""page_index"":3,""viewing_time"":163.2999999988824},{""page_index"":4,""viewing_time"":171.30000000074506}]","846.5","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","50","415717","0.0-1.0-14.0-4.0","battery-v0.2","[{""page_index"":0,""viewing_time"":176.19999999925494},{""page_index"":1,""viewing_time"":172.80000000074506}]","349.90000000037253","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","51","416829","0.0-1.0-14.0-5.0","battery-v0.2","[{""page_index"":0,""viewing_time"":159.5},{""page_index"":1,""viewing_time"":155.10000000149012},{""page_index"":2,""viewing_time"":156.2999999988824},{""page_index"":3,""viewing_time"":163.59999999962747},{""page_index"":4,""viewing_time"":154.10000000149012},{""page_index"":5,""viewing_time"":163.89999999850988},{""page_index"":6,""viewing_time"":156}]","1109.6000000014901","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","52","428398","0.0-1.0-14.0-6.0","battery-v0.2","","11562.900000000373","","","","","","","","","","","","","Press SPACE,+10,-10,True,False, sometimes you will not get all the points even if you took the right action,True","0","1","","","","","","",""
"pit-instructions","53","440913","0.0-2.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2533.0999999996275},{""page_index"":1,""viewing_time"":7325.800000000745},{""page_index"":2,""viewing_time"":2649.199999999255}]","12509","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","54","445384","0.0-3.0","battery-v0.2","","957","&#9733;","elianto","#3366ff99","-1","32","0","0","2459.0999999996275","1","1","","","","","","001","1","2","2","win","no-go","0"
"pit-trial","55","449914","0.0-4.0","battery-v0.2","","1025.4000000003725","&#9728;","elianto","#f73b6a7A","-1","32","0","0","2525.7999999988824","1","1","","","","","","001","2","0","4","lose","no-go","1"
"pit-trial","56","454343","0.0-5.0","battery-v0.2","","919.3000000007451","&#9730;","elianto","#3366ff99","32","32","1","+10","2420.10000000149","1","1","","","","","","001","3","1","1","win","go","0"
"pit-trial","57","459202","0.0-6.0","battery-v0.2","","1348.4000000003725","&#9752;","elianto","#f73b6a7A","32","32","1","0","2848.9000000003725","1","1","","","","","","001","4","3","3","lose","go","0"
"pit-trial","58","463284","0.0-7.0","battery-v0.2","","573.7999999988824","&#9752;","elianto","#f73b6a7A","32","32","1","-10","2074","1","1","","","","","","001","5","3","3","lose","go","1"
"pit-trial","59","468419","0.0-8.0","battery-v0.2","","1630.199999999255","&#9733;","elianto","#3366ff99","-1","32","0","0","3130.5999999996275","1","1","","","","","","001","6","2","2","win","no-go","0"
"pit-trial","60","472276","0.0-9.0","battery-v0.2","","349.40000000037253","&#9730;","elianto","#3366ff99","32","32","1","+10","1849.9000000003725","1","1","","","","","","001","7","1","1","win","go","0"
"pit-trial","61","477784","0.0-10.0","battery-v0.2","","-1","&#9728;","elianto","#f73b6a7A","-1","-1","1","-10","","0","1","","","","","","001","8","0","4","lose","no-go","1"
"pit-trial","62","481824","0.0-11.0","battery-v0.2","","536.0999999996275","&#9730;","elianto","#3366ff99","32","32","1","+10","2036.5","1","1","","","","","","001","9","1","1","win","go","0"
"pit-trial","63","486208","0.0-12.0","battery-v0.2","","873.4000000003725","&#9728;","elianto","#f73b6a7A","-1","32","0","0","2374.199999999255","1","1","","","","","","001","10","0","4","lose","no-go","1"
"pit-trial","64","490938","0.0-13.0","battery-v0.2","","1219.4000000003725","&#9733;","elianto","#3366ff99","-1","32","0","0","2720.0999999996275","1","1","","","","","","001","11","2","2","win","no-go","0"
"pit-trial","65","495411","0.0-14.0","battery-v0.2","","962.3000000007451","&#9752;","elianto","#f73b6a7A","32","32","1","0","2463.0999999996275","1","1","","","","","","001","12","3","3","lose","go","0"
"pit-trial","66","499657","0.0-15.0","battery-v0.2","","738.4000000003725","&#9728;","elianto","#f73b6a7A","-1","32","0","-10","2240.9000000003725","1","1","","","","","","001","13","0","4","lose","no-go","0"
"pit-trial","67","504144","0.0-16.0","battery-v0.2","","973.9000000003725","&#9752;","elianto","#f73b6a7A","32","32","1","-10","2474.5","1","1","","","","","","001","14","3","3","lose","go","1"
"pit-trial","68","508009","0.0-17.0","battery-v0.2","","353.5","&#9730;","elianto","#3366ff99","32","32","1","+10","1856.2999999988824","1","1","","","","","","001","15","1","1","win","go","0"
"pit-trial","69","513518","0.0-18.0","battery-v0.2","","-1","&#9733;","elianto","#3366ff99","-1","-1","1","+10","","0","1","","","","","","001","16","2","2","win","no-go","0"
"pit-trial","70","517809","0.0-19.0","battery-v0.2","","779.2000000011176","&#9752;","elianto","#f73b6a7A","32","32","1","0","2281.10000000149","1","1","","","","","","001","17","3","3","lose","go","0"
"pit-trial","71","521927","0.0-20.0","battery-v0.2","","607.7000000011176","&#9730;","elianto","#3366ff99","32","32","1","0","2108.2000000011176","1","1","","","","","","001","18","1","1","win","go","1"
"pit-trial","72","527442","0.0-21.0","battery-v0.2","","-1","&#9728;","elianto","#f73b6a7A","-1","-1","1","0","","0","1","","","","","","001","19","0","4","lose","no-go","0"
"pit-trial","73","532098","0.0-22.0","battery-v0.2","","1148.2999999988824","&#9733;","elianto","#3366ff99","-1","32","0","0","2648.89999999851","1","1","","","","","","001","20","2","2","win","no-go","0"
"pit-instructions","74","536967","0.0-23.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3464.699999999255},{""page_index"":1,""viewing_time"":1401.0999999996275}]","4866.89999999851","","","","","","","","","","","","","","","","","","","","","",""
