"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId"
"pavlovia","0","4","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","",""
"pit-instructions","1","2991","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1269.199999988079},{""page_index"":1,""viewing_time"":149.89999997615814},{""page_index"":2,""viewing_time"":149.60000002384186},{""page_index"":3,""viewing_time"":166.5999999642372},{""page_index"":4,""viewing_time"":150.60000002384186},{""page_index"":5,""viewing_time"":166.5},{""page_index"":6,""viewing_time"":150.10000002384186},{""page_index"":7,""viewing_time"":149.5999999642372},{""page_index"":8,""viewing_time"":167.10000002384186},{""page_index"":9,""viewing_time"":133.30000001192093},{""page_index"":10,""viewing_time"":166.5999999642372},{""page_index"":11,""viewing_time"":166.60000002384186}]","2986.099999964237","","","","","","","","","","","","","",""
"pit-trial","2","6730","0.0-1.0-1.0-0.0","battery-v0.2","","233.89999997615814","&#9776;","elianto","#3366ff99","32","32","1","+10","1341.8999999761581,1735.5999999642372","2","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","14","67104","0.0-1.0-1.2-2.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","15","72606","0.0-1.0-1.2-3.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","16","78116","0.0-1.0-1.2-4.2","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","17","83618","0.0-1.0-1.3-0.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","18","89123","0.0-1.0-1.3-1.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","19","94631","0.0-1.0-1.3-2.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","20","100137","0.0-1.0-1.3-3.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","21","105642","0.0-1.0-1.3-4.3","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","22","111145","0.0-1.0-1.4-0.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","23","116650","0.0-1.0-1.4-1.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","24","122160","0.0-1.0-1.4-2.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","25","127662","0.0-1.0-1.4-3.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","26","133166","0.0-1.0-1.4-4.4","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","27","138671","0.0-1.0-1.5-0.5","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","28","144177","0.0-1.0-1.5-1.5","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","29","149683","0.0-1.0-1.5-2.5","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","30","155191","0.0-1.0-1.5-3.5","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","31","160695","0.0-1.0-1.5-4.5","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","32","166200","0.0-1.0-1.6-0.6","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","33","171706","0.0-1.0-1.6-1.6","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","34","177215","0.0-1.0-1.6-2.6","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","35","182721","0.0-1.0-1.6-3.6","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","36","188226","0.0-1.0-1.6-4.6","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","37","193729","0.0-1.0-1.7-0.7","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","38","199236","0.0-1.0-1.7-1.7","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","39","204746","0.0-1.0-1.7-2.7","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","40","210248","0.0-1.0-1.7-3.7","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","41","215755","0.0-1.0-1.7-4.7","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","42","221259","0.0-1.0-1.8-0.8","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","43","226764","0.0-1.0-1.8-1.8","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","44","232270","0.0-1.0-1.8-2.8","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","45","237775","0.0-1.0-1.8-3.8","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","46","243281","0.0-1.0-1.8-4.8","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","47","248786","0.0-1.0-1.9-0.9","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","48","254292","0.0-1.0-1.9-1.9","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","49","259798","0.0-1.0-1.9-2.9","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","50","265302","0.0-1.0-1.9-3.9","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","51","270809","0.0-1.0-1.9-4.9","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","52","276318","0.0-1.0-1.10-0.10","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","53","281826","0.0-1.0-1.10-1.10","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","54","287331","0.0-1.0-1.10-2.10","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","55","292835","0.0-1.0-1.10-3.10","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","56","298339","0.0-1.0-1.10-4.10","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","57","303846","0.0-1.0-1.11-0.11","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","58","309353","0.0-1.0-1.11-1.11","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","59","314859","0.0-1.0-1.11-2.11","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","60","320366","0.0-1.0-1.11-3.11","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","61","325869","0.0-1.0-1.11-4.11","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","62","331375","0.0-1.0-1.12-0.12","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","63","336886","0.0-1.0-1.12-1.12","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","64","342389","0.0-1.0-1.12-2.12","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","65","347898","0.0-1.0-1.12-3.12","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","66","353404","0.0-1.0-1.12-4.12","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","67","358914","0.0-1.0-1.13-0.13","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","68","364420","0.0-1.0-1.13-1.13","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","69","369922","0.0-1.0-1.13-2.13","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","70","375423","0.0-1.0-1.13-3.13","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","71","380928","0.0-1.0-1.13-4.13","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","72","386431","0.0-1.0-1.14-0.14","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","73","391935","0.0-1.0-1.14-1.14","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","74","397439","0.0-1.0-1.14-2.14","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","75","402947","0.0-1.0-1.14-3.14","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","76","408456","0.0-1.0-1.14-4.14","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","77","413960","0.0-1.0-1.15-0.15","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","78","419468","0.0-1.0-1.15-1.15","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","79","424979","0.0-1.0-1.15-2.15","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","80","430487","0.0-1.0-1.15-3.15","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","81","435988","0.0-1.0-1.15-4.15","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","82","441499","0.0-1.0-1.16-0.16","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","83","447005","0.0-1.0-1.16-1.16","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","84","452511","0.0-1.0-1.16-2.16","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","85","458018","0.0-1.0-1.16-3.16","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","86","463520","0.0-1.0-1.16-4.16","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","87","469026","0.0-1.0-1.17-0.17","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","88","474534","0.0-1.0-1.17-1.17","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","89","480040","0.0-1.0-1.17-2.17","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","90","485548","0.0-1.0-1.17-3.17","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","91","491052","0.0-1.0-1.17-4.17","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","92","496559","0.0-1.0-1.18-0.18","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","93","502061","0.0-1.0-1.18-1.18","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","94","507568","0.0-1.0-1.18-2.18","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","95","513079","0.0-1.0-1.18-3.18","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","96","518586","0.0-1.0-1.18-4.18","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","97","524091","0.0-1.0-1.19-0.19","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","98","529600","0.0-1.0-1.19-1.19","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","99","535106","0.0-1.0-1.19-2.19","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","100","540613","0.0-1.0-1.19-3.19","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","+10","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","101","546117","0.0-1.0-1.19-4.19","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","102","551627","0.0-1.0-1.20-0.20","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","103","557132","0.0-1.0-1.20-1.20","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
"pit-trial","104","562642","0.0-1.0-1.20-2.20","battery-v0.2","","-1","&#9776;","elianto","#3366ff99","32","-1","0","0","","0","0","1","998","3&age=998&participant_ID=5&order=1","5"
