"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","rune","rune_set","hex","correct","choice","rt","accuracy","outcome","keys","total_keys","age","subject","participantId","sub","block","trial","stimulus","robot","valence","action","sham","view_history"
"pit-trial","248","1010954","0.0-248.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","d","elianto","#3366ff99"," "," ","273.5","1","0","[1125.2999999523163]","1","9","999","999","999","3","245","8","1","win","go","1",""
"pit-trial","249","1014031","0.0-249.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","e","elianto","#f73b6a7A","-1"," ","223.80000007152557","0","-10","[1076.1000000238419]","1","9","999","999","999","3","246","7","4","lose","no-go","0",""
"pit-trial","250","1016959","0.0-250.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","w","elianto","#f73b6a7A"," "," ","71.60000002384186","1","0","[923.1000000238419]","1","9","999","999","999","3","247","6","3","lose","go","0",""
"pit-trial","251","1019951","0.0-251.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","j","elianto","#3366ff99"," "," ","137.90000009536743","1","+10","[988]","1","9","999","999","999","3","248","9","1","win","go","0",""
"pit-trial","252","1022943","0.0-252.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","e","elianto","#f73b6a7A","-1"," ","136.60000002384186","0","-10","[988.2999999523163]","1","9","999","999","999","3","249","7","4","lose","no-go","0",""
"pit-trial","253","1025871","0.0-253.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","w","elianto","#f73b6a7A"," "," ","71.69999992847443","1","0","[922.2999999523163]","1","9","999","999","999","3","250","6","3","lose","go","0",""
"pit-trial","254","1028815","0.0-254.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","j","elianto","#3366ff99"," "," ","91.20000004768372","1","+10","[941.2000000476837]","1","9","999","999","999","3","251","9","1","win","go","0",""
"pit-trial","255","1031764","0.0-255.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","d","elianto","#3366ff99"," "," ","93.70000004768372","1","+10","[944.5]","1","9","999","999","999","3","252","8","1","win","go","0",""
"pit-trial","256","1034735","0.0-256.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","e","elianto","#f73b6a7A","-1"," ","114.60000002384186","0","-10","[965.2000000476837]","1","9","999","999","999","3","253","7","4","lose","no-go","0",""
"pit-trial","257","1037904","0.0-257.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","w","elianto","#f73b6a7A"," "," ","315.7000000476837","1","0","[1166.8999999761581]","1","9","999","999","999","3","254","6","3","lose","go","0",""
"pit-trial","258","1041193","0.0-258.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","d","elianto","#3366ff99"," "," ","432.10000002384186","1","+10","[71.89999997615814,550.7000000476837,1283.3000000715256]","3","9","999","999","999","3","255","8","1","win","go","0",""
"pit-trial","259","1044276","0.0-259.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","j","elianto","#3366ff99"," "," ","226.39999997615814","1","+10","[1077.8999999761581]","1","9","999","999","999","3","256","9","1","win","go","0",""
"pit-trial","260","1047332","0.0-260.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","j","elianto","#3366ff99"," "," ","200.60000002384186","1","+10","[1052.1000000238419]","1","9","999","999","999","3","257","9","1","win","go","0",""
"pit-trial","261","1050302","0.0-261.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","e","elianto","#f73b6a7A","-1"," ","115.5","0","-10","[966]","1","9","999","999","999","3","258","7","4","lose","no-go","0",""
"pit-trial","262","1053363","0.0-262.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","d","elianto","#3366ff99"," "," ","204.5","1","+10","[1056.1000000238419]","1","9","999","999","999","3","259","8","1","win","go","0",""
"pit-trial","263","1056307","0.0-263.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
""blur"",""264"",""1063939""
""focus"",""264"",""1070745""
""blur"",""264"",""1096297""
""focus"",""264"",""1325880""
""blur"",""264"",""1326530""
""focus"",""264"",""1490947""
""blur"",""264"",""1491571""
""focus"",""264"",""1492633""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
""blur"",""264"",""1063939""
""blur"",""264"",""1096297""
""blur"",""264"",""1326530""
""blur"",""264"",""1491571""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
""focus"",""264"",""1070745""
""focus"",""264"",""1325880""
""focus"",""264"",""1490947""
""focus"",""264"",""1492633""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","w","elianto","#f73b6a7A"," "," ","91.5","1","-10","[941.5]","1","9","999","999","999","3","260","6","3","lose","go","1",""
"pit-instructions","264","1495586","0.0-264.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
""blur"",""4"",""11171""
""focus"",""6"",""23173""
""blur"",""246"",""1001561""
""focus"",""246"",""1002223""
""blur"",""264"",""1063939""
""focus"",""264"",""1070745""
""blur"",""264"",""1096297""
""focus"",""264"",""1325880""
""blur"",""264"",""1326530""
""focus"",""264"",""1490947""
""blur"",""264"",""1491571""
""focus"",""264"",""1492633""
","""event"",""trial"",""time""
""blur"",""4"",""11171""
""blur"",""246"",""1001561""
""blur"",""264"",""1063939""
""blur"",""264"",""1096297""
""blur"",""264"",""1326530""
""blur"",""264"",""1491571""
","""event"",""trial"",""time""
""focus"",""6"",""23173""
""focus"",""246"",""1002223""
""focus"",""264"",""1070745""
""focus"",""264"",""1325880""
""focus"",""264"",""1490947""
""focus"",""264"",""1492633""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1367""
","
","","","","","","","439291","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":439289.6999999285}]"
